FEN,Result
...f....ecbad.......................24315....F...,0
...f.....cba....e.d..........4...5..2.31.....F...,0
...f.....c.a....eb......d....4...5..2..1.....F...,0
...f.....c.a....e.b...........4..5.....1.....F...,0
...f.....c.a....e.b.............15...........F...,0
...f.....c.a....e.b......5...................F...,0
...f....edbca.......................42513....F...,0
...f.....d.ca...e.b..........4..5....2.13....F...,0
...f.....d.ca...e.b..........4...3...2.1.....F...,0
...f.....d.c....e...a...b....4...3.....1.....F...,0
...f.....d.ca...e............4..3............F...,0
...f.....d.ca...e.....4......................F...,0
...f....aebcd.......................43251....F...,0
...f.....ebc....a.d............51...432......F...,0
...f.....ebc............d...........432......F...,0
...f.....e.c....b.d..........4..2....3.......F...,0
...f.......c....e.d....3.....4..2............F...,0
...f............e.d.....c....4...............F...,0
...f....dabce.......................25134....F...,0
...f.....abc....d.e..........5...4..2.13.....F...,0
...f.....a.c....d.e....b.....52.34....1......F...,0
...f.......c....a.e...........2.34....1......F...,0
...f.......c....a.............e.14...........F...,0
...f.......c............a4...........e.......F...,0
...f....dceab.......................32415....F...,0
...f....dc.a....e.b.............45..32.1.....F...,0
...f....dc.......ab.....e....3...5...2.1.....F...,0
...f....dc.......ab..........e..15...........F...,0
...f....cbdae.......................13452....F...,0
...f....cb.a....d.e............3.5..1.4.2....F...,0
...f....cb.......ae.....d......3.5..1...2....F...,0
...f....cb.......ae..........1..d5...........F...,0
...f.....b......c.e.....a....1...............F...,0
...f....ceabd.......................14235....F...,1
...f.....eab....c.d..........4...5..1.23.....F...,1
...f.....e.b....c.d......a...4.325..1........F...,1
...f.....e......c.b......5...4..2...1........F...,1
...f............e.5....4........2...1........F...,1
...f.............e..............2...1........F...,1
...f....................e....1...............F...,1
...f....baedc.......................51432....F...,0
...fc...ba.d....e............5.......143.....F2..,0
...f....ba.d....e.c..........54..3...1.......F2..,0
...f....ba.d....e.c..........51..3...........F2..,0
...f....ba.d..........e.c........3...........F2..,0
...f....ba.d....e...............c3...........F...,0
...f....dcbea.......................31254....F...,0
...f.....c.ea...db...............5..312..4...F...,0
...f.....c.e....d.a....b.....32..5...1...4...F...,0
...f.....c.e......a..........d1..5.......4...F...,0
...f.....c.e............a.5..........d...4...F...,0
...f....debac.......................41235....F...,1
.e.f....d.b.c.....a............1....4..35...2F...,1
.e.f..c.d.b.............a......1....4.53....2F...,1
...f..c..eb.....d.......1.....5.....4..3....2F...,1
...f..c..e........b.....5....4.........3....2F...,1
...f........5...e............4.........3....2F...,1
...f........5...e............4...3...2.......F...,1
...f........5...e.......2....4...3...........F...,1
...f........5..........e.........3...........F...,1
...f.....e..5......3.........................F...,1
...f....bcdae.......................35142....F...,1
...f....bc.a....d.e..........5...4..3.1.2....F...,1
...f....bc.a....d.e..........53.24....1......F...,1
...f....bc.a......e..........51.d4...........F...,1
...f.....c.a....b.......e....51..............F...,1
...f.....c.a....b......5.....................F...,1
...f.....5.a.................................F...,1
...f....dbeac.......................34251....F...,0
...f.....b.ac...d.e..........4...5..3.2.1....F...,0
...f.....b.c....dae..........43.25......1....F...,0
...f.....b.c......e.....da...4..2.......1....F...,0
...f.....b.c......e..........4...d...........F...,0
...f....cbead.......................34251....F...,0
...f....cb.a....e.d..........4...5..3.2.1....F...,0
...f....cb.a....e.d..........43.25......1....F...,0
...f....cb.a....e........5...4..d.......1....F...,0
...f....cb......e.......a....4..........1....F...,0
...f....cb........a...e..........1...........F...,0
...f....edabc.......................45321....F...,0
...f.....dab....e.c..........54.......321....F...,0
...f.....d.b.....ac.....e....5..3......21....F...,0
...f.....d.b....a.c..........5..12...........F...,0
...f.....d.b....a.c...5..........2...........F...,0
...f....cebda.......................32154....F...,1
...f.....ebd....c.a...............4.321.5....F...,1
...f.....e.d....c.a......b4......5..321......F...,1
...f.....e......c.d......4..........321......F...,1
...f.............e..................321......F...,1
...f.....e...................3..1....2.......F...,1
...f....................e....3..1............F...,1
...f....abecd.......................12354....F...,0
...f....ab.c....e.d.............54..123......F...,0
...f....ab.c......d.............e4..12.......F...,0
...f....ab.c......d..........21........e.....F...,0
...f....badec.......................14352....F...,0
...f....ba.e....d.c..........4...5..1.3.2....F...,0
...f.....b.e....dac..........43.25..1........F...,0
...f.....b.e....da...........41.c5...........F...,0
...f.....b......d.e.....a....41..............F...,0
...f.....b......d.e...4......................F...,0
...f....abdce.......................51342....F...,0
...f....ab.c....d.e..........5...4...13.2....F...,0
...f....ab.c....d.e..........53.24...1.......F...,0
...f....ab.c......e..........51.d4...........F...,0
...f.....b.c....a.......e....51..............F...,0
...f....bdace.......................53412....F...,0
...f.....dac....b.e..........5.......341.2...F...,0
...f.....d.c....ba......e....5.......3.1.2...F...,0
...f.....d.c....b.a...........5........1.2...F...,0
...f.....d.c....b.a..............2.....1.....F...,0
...f.....d......b.c......1.......2...........F...,0
...f....caedb.......................41253....F...,0
...f.....a.db...c.e..........4...5...12.3....F...,0
...f.....a.db...c.e..........42.35...1.......F...,0
...f.....a.db.....e..........4c1.5...........F...,0
...f.......db...a.......e......1.5...........F...,0
...f.......db.....a.......5..................F...,0
...f....adbce.......................41235....F...,0
...f....ad.c....b.e..........4...5...123.....F...,0
...f.....d.c....b.e..a.......4.325...1.......F...,0
...f.......c....d.e..4.3........25...1.......F...,0
...f.............ce...d.........25...1.......F...,0
...f..............e.....c....d...5...........F...,0
...f....ceabd.......................51342....F...,1
...f.....eab....c.d..........5...4...13.2....F...,1
...f.....e.b....c.d......a...53.24...1.......F...,1
...f.....e......c.b......4...53......1.......F...,1
...f............e.4....3.....5.......1.......F...,1
...f.............e...........5.......1.......F...,1
...f.....e..............1....5...............F...,1
...f....badec.......................41352....F...,0
...f.....a.ec...b.d..............5...13.2..4.F...,0
...f.....a.ec...b.d...........3.25...1.....4.F...,0
...f.....a.ec...b............1..d5.........4.F...,0
...f.......e....bac.....5....1.............4.F...,0
...f.....a......b.e..........1.......4.......F...,0
...f............ba......e....1...............F...,0
...f....ebcda.......................31254....F...,0
...f......cda..be....................125..3..F..4,0
...f.....b.da...e.c..............5...12..43..F...,0
...f.....b.d....e.c........a....25.3.1...4...F...,0
...f.......d....ebc..........3..24...1.......F...,0
...f.......d....e.c..........3b..4...........F...,0
...f.....e.d............c........4...........F...,0
...f....aedbc.......................12453....F...,0
...f....ae.b....d.c.............45..12..3....F...,0
...f....ae.b......c.............d5..12.......F...,0
...f.....e.b......c.....a...........12.......F...,0
...f.....e.b.....ac..........21..............F...,0
...f.....e.b....a.c...2......................F...,0
...f....adbec.......................51234....F...,0
...f..c.adbe..................1.....5.23.....F.4.,0
...f..c.ad.e............b....5........23.....F.4.,0
...f....ad.ec.....b..........5..23...........F.4.,0
...f.....d.ec....ab..........5.423...........F...,0
...f.....d..c...a.e..........5..23...........F...,0
...f.....d..c.........a.e........3...........F...,0
...f....edbca.......................32514....F...,0
...f.....d.ca...e.b.............54..32.1.....F...,0
...f.....d.ca...e.b..........3...4...2.1.....F...,0
...f.....d.c....e...a...b....3...4.....1.....F...,0
...f.....d.ca...e............3..4............F...,0
...f....aedbc.......................15324....F...,0
...f....ae.b....d.c..........5...4..1.32.....F...,0
...f.....e.b..a.d.......c....5...4..1..2.....F...,0
...f....ae.b....d............5..4...1........F...,0
...f....ae.b.................5d..............F...,0
...f....ecadb.......................43152....F...,1
...f.....cad....e.b..........4...5...31.2....F...,1
...f.....c.d....e.b....a.....43.25....1......F...,1
...f.....c.d......b..........e1.25...........F...,1
...f.......d....c.......b....1...5...........F...,1
...f.....c.d......5..........1...............F...,1
...f....bedac.......................54132....F...,0
...f....be.a....d.c..........54.......132....F...,0
...f....be.......ac.....d....5...3....1.2....F...,0
...f....be.......ac..........51..d...........F...,0
...f....be........c...5.a..............d.....F...,0
...f....abcde.......................21354....F...,0
...f....ab.d....c.e..........1...5..2.3.4....F...,0
...f.....b.d....c.e..a.......13.45..2........F...,0
...f.......d....cb...1..e.....3..5..2........F...,0
...f.......d...1cb...........e...5...........F...,0
...f....c..d.....b........5..........e.......F...,0
...f....ebcad.......................32541....F...,0
...f.....bca....e.d..........25.....3..41....F...,0
...f.....b.a.....cd.....e....2...4..3...1....F...,0
...f.....b.a.....cd..........e..14...........F...,0
...f....adcbe.......................45321....F...,0
...f....ad.b....c.e..........54.......321....F...,0
...f.....d.b..a.c.......e....5..3......21....F...,0
...f.....d.b....c....a.......5..12...........F...,0
...f.....d......cb...........a...2...........F...,0
...f....ceadb.......................32514....F...,0
...f.....ead....c.b.............54..32.1.....F...,0
...f.......d....eab..............4..32.1.....F...,0
...f.......d....eab..........32..4.....1.....F...,0
...f.......d....ea...........3..b4...........F...,0
...f.......d......a.....e....3...............F...,0
...f....acebd.......................34251....F...,0
...f....ac.b....e.d..........4...5..3.2.1....F...,0
